Title,"Release Date","IMDb Url",Format,Distributor,"Added Date"
"A Bad Moms Christmas",2017,https://www.imdb.com/title/tt6359956/?ref_=ref_ext_clz,DVD,,"Mar 16, 2026"
"Bad Teacher / Easy A / Superbad",,,DVD,,"Mar 16, 2026"
"Balls of Fury",2007,https://www.imdb.com/title/tt0424823/?ref_=ref_ext_clz,DVD,Universal,"Mar 30, 2026"
"The Bank Job",2008,https://www.imdb.com/title/tt0200465/?ref_=ref_ext_clz,DVD,"Lion's Gate Home Entertainment","Mar 29, 2026"
"Barbershop 2: Back in Business",2004,https://www.imdb.com/title/tt0337579/?ref_=ref_ext_clz,DVD,,"Mar 05, 2026"
"Batman Begins",2005,https://www.imdb.com/title/tt0372784/?ref_=ref_ext_clz,DVD,"Warner Bros.","Mar 29, 2026"
"Batman Begins",2005,https://www.imdb.com/title/tt0372784/?ref_=ref_ext_clz,DVD,"Warner Bros.","Mar 29, 2026"
Battleship,2012,https://www.imdb.com/title/tt1440129/?ref_=ref_ext_clz,DVD,Universal,"Mar 05, 2026"
"BBC Great Comedy Moments",2001,,DVD,,"Mar 29, 2026"
"A Beautiful Mind",2001,https://www.imdb.com/title/tt0268978/?ref_=ref_ext_clz,DVD,,"Mar 29, 2026"
"Beauty and the Beast",2017,https://www.imdb.com/title/tt2771200/?ref_=ref_ext_clz,DVD,"Walt Disney","Mar 30, 2026"
"Being Human: Series 1-2",2008,https://www.imdb.com/title/tt1349938/?ref_=ref_ext_clz,DVD,,"Mar 15, 2026"
"The BFG",1989,https://www.imdb.com/title/tt0096866/?ref_=ref_ext_clz,DVD,,"Mar 15, 2026"
"The BFG",1989,https://www.imdb.com/title/tt0096866/?ref_=ref_ext_clz,DVD,,"Mar 29, 2026"
"The Big Bang Theory: Season 1",2007,https://www.imdb.com/title/tt0898266/?ref_=ref_ext_clz,DVD,"Warner Bros.","Mar 12, 2026"
"The Big Bang Theory: Season 1-6",2007,https://www.imdb.com/title/tt0898266/?ref_=ref_ext_clz,DVD,,"Mar 10, 2026"
"The Big Bang Theory: Season 5",2011,https://www.imdb.com/title/tt0898266/?ref_=ref_ext_clz,DVD,"Warner Bros.","Mar 12, 2026"
"Big Daddy",1999,https://www.imdb.com/title/tt0142342/?ref_=ref_ext_clz,DVD,"Columbia TriStar","Mar 15, 2026"
"Big Daddy",1999,https://www.imdb.com/title/tt0142342/?ref_=ref_ext_clz,DVD,"Columbia TriStar","Mar 16, 2026"
"Big Momma's House",2000,https://www.imdb.com/title/tt0208003/?ref_=ref_ext_clz,DVD,,"Mar 15, 2026"
"Big Momma's House",2000,https://www.imdb.com/title/tt0208003/?ref_=ref_ext_clz,DVD,,"Mar 16, 2026"
